aX,aY,aZ,gX,gY,gZ
-0.019,1.281,2.157,63.232,-17.09,152.1
-0.019,1.372,2.155,64.026,-5.676,143.25
-0.128,1.609,2.061,45.959,35.522,124.573
-0.222,1.673,2.025,23.254,49.561,109.619
-0.299,1.626,1.936,-29.358,67.566,96.008
-0.327,1.6,1.972,-46.875,78.674,95.154
-0.388,1.646,1.936,-53.589,89.722,89.722
-0.364,1.557,1.883,-47.058,96.863,79.895
-0.407,1.543,1.866,-30.518,105.591,58.411
-0.4,1.561,1.857,-14.282,112.793,43.64
-0.426,1.584,1.802,0.732,117.615,28.748
-0.483,1.523,1.716,16.724,124.512,12.756
-0.489,1.432,1.654,26.55,134.888,0.488
-0.483,1.406,1.616,25.513,141.663,-7.385
-0.451,1.342,1.622,19.47,144.287,-10.559
-0.455,1.218,1.479,13.367,143.982,-12.268
-0.432,1.196,1.401,5.127,151.733,-14.832
-0.38,1.089,1.292,-8.972,165.588,-17.7
-0.351,1.101,1.254,-10.376,164.307,-41.016
-0.32,1.036,1.097,1.892,156.738,-54.504
-0.308,1.038,0.988,10.986,154.785,-69.763
-0.351,1.061,0.816,16.418,153.931,-79.773
-0.362,1.065,0.669,14.648,151.367,-84.412
-0.395,1.023,0.497,8.362,145.203,-88.135
-0.396,1.023,0.321,0.183,135.986,-93.872
-0.375,0.966,0.239,-9.094,130.31,-97.595
-0.38,0.851,0.153,-21.057,125.854,-98.694
-0.387,0.783,0.081,-40.405,120.483,-97.961
-0.4,0.81,0.036,-59.814,116.15,-94.666
-0.401,0.787,0.002,-71.228,110.291,-96.68
-0.403,0.716,-0.079,-72.815,103.027,-107.3
-0.408,0.624,-0.211,-68.97,95.093,-121.521
-0.458,0.505,-0.356,-67.2,86.06,-132.568
-0.516,0.349,-0.525,-70.007,70.862,-136.658
-0.535,0.225,-0.657,-75.134,47.18,-137.329
-0.393,0.091,-0.583,-58.105,-16.418,-145.691
-0.379,-0.028,-0.541,-62.805,-43.213,-150.513
-0.396,-0.121,-0.523,-74.646,-56.396,-150.635
-0.404,-0.176,-0.464,-87.341,-68.665,-148.804
-0.395,-0.438,-0.356,-99.609,-92.163,-147.766
-0.363,-0.676,-0.347,-107.483,-108.887,-142.151
-0.297,-1.001,-0.287,-118.652,-123.413,-128.479
-0.188,-1.26,-0.183,-126.77,-129.456,-106.873
-0.157,-1.295,-0.104,-125.916,-130.249,-82.275
-0.205,-1.208,-0.077,-110.657,-133.179,-62.134
-0.302,-1.049,-0.124,-87.463,-143.677,-51.758
-0.304,-0.986,-0.099,-72.998,-160.217,-47.668
-0.216,-1.009,0.035,-76.355,-176.88,-40.833
-0.153,-1.161,0.194,-96.863,-188.416,-23.621
-0.143,-1.418,0.355,-126.648,-191.956,4.822
-0.134,-1.592,0.621,-151.672,-185.608,41.199
-0.172,-1.8,0.943,-150.33,-171.265,81.055
-0.303,-1.712,1.185,-122.62,-161.011,118.958
-0.385,-1.451,1.406,-69.885,-158.02,147.339
-0.418,-1.169,1.506,-3.54,-163.879,161.926
-0.361,-0.871,1.654,44.25,-175.72,169.189
-0.244,-0.652,1.784,60.669,-184.082,172.241
-0.166,-0.403,1.905,46.631,-182.373,174.744
-0.061,-0.179,2.088,19.348,-168.884,182.8
-0.003,-0.113,2.27,-2.686,-144.409,194.275
-0.057,-0.087,2.349,-7.935,-114.38,201.782
-0.084,0.016,2.424,2.258,-85.205,206.787
-0.104,0.281,2.463,42.603,-48.401,206.604
-0.155,0.669,2.261,78.735,-38.269,200.5
-0.158,0.843,2.22,83.496,-34.973,192.627
-0.164,1.006,2.166,81.116,-32.959,182.495
-0.145,1.144,2.159,70.862,-30.212,174.622
-0.181,1.255,2.208,54.749,-23.01,170.776
-0.197,1.412,2.286,42.542,-10.193,168.762
-0.258,1.505,2.312,50.659,37.537,142.7
-0.409,1.689,2.211,48.218,55.664,137.695
-0.424,1.837,2.244,44.006,70.496,124.878
-0.457,1.861,2.266,44.067,76.111,107.117
-0.551,1.953,2.449,39.49,81.787,85.327
-0.591,1.94,2.384,34.912,90.088,77.454
-0.618,1.921,2.311,35.828,141.602,60.791
-0.665,1.92,2.188,42.786,164.246,42.725
-0.685,1.846,2.047,45.41,179.687,22.644
-0.646,1.763,1.885,39.856,185.303,3.723
-0.626,1.689,1.747,28.259,184.387,-12.085
-0.588,1.585,1.639,14.404,184.57,-20.874
-0.542,1.529,1.522,-1.587,187.866,-22.766
-0.544,1.484,1.367,-13.489,193.237,-25.452
-0.55,1.43,1.242,-19.714,200.256,-31.494
-0.572,1.027,0.719,-47.363,174.255,-60.181
-0.636,1.017,0.587,-51.636,147.949,-78.003
-0.526,0.725,0.535,-45.532,115.845,-139.587
-0.443,0.558,0.528,-49.744,114.075,-146.423
-0.443,0.196,0.211,-47.729,115.479,-132.507
-0.404,0.182,0.115,-37.72,114.319,-130.127
-0.395,0.195,0.036,-23.865,112.0,-126.648
-0.385,0.14,-0.105,-9.277,106.14,-123.535
-0.363,0.083,-0.257,-5.31,99.243,-122.192
-0.356,0.066,-0.412,-11.536,92.651,-119.507
