aX,aY,aZ,gX,gY,gZ
-0.005,0.531,2.695,-21.729,23.437,7.507
0.039,0.517,2.68,-18.372,39.001,0.732
0.067,0.429,2.616,-14.038,54.138,-6.104
0.06,0.396,2.514,-11.536,65.063,-11.475
0.03,0.392,2.398,-10.498,73.669,-15.137
0.038,0.427,2.325,-10.986,79.651,-16.907
-0.004,0.357,2.189,-11.536,81.97,-17.822
-0.035,0.256,2.046,-16.113,83.252,-20.935
-0.018,0.173,1.961,-27.405,86.609,-22.461
-0.004,0.105,1.891,-39.246,91.125,-19.958
-0.003,0.046,1.8,-45.593,96.191,-16.541
0.016,0.012,1.715,-44.617,102.173,-13.611
0.057,-0.016,1.629,-38.33,108.337,-10.864
0.094,-0.033,1.553,-27.1,113.708,-7.935
0.142,0.006,1.495,-12.268,118.774,-5.31
0.153,0.11,1.44,5.127,122.192,-4.028
0.099,0.263,1.358,23.743,122.192,-5.066
0.01,0.427,1.287,37.354,119.324,-11.597
-0.045,0.397,1.214,44.617,118.774,-22.644
-0.047,0.268,1.164,41.26,121.216,-31.738
-0.006,0.2,1.164,24.719,124.878,-33.508
0.001,0.128,1.137,5.432,129.578,-31.372
-0.012,0.042,1.048,-30.884,145.142,-20.63
-0.115,-0.126,0.767,-49.072,152.527,-11.353
-0.139,-0.266,0.594,-64.514,154.785,-0.671
-0.141,-0.285,0.464,-72.144,153.32,8.24
-0.204,-0.325,0.267,-65.002,149.109,12.573
-0.263,-0.38,0.064,-46.997,142.944,13.733
-0.263,-0.395,-0.097,-22.705,136.475,8.667
-0.247,-0.363,-0.232,5.798,128.906,-0.977
-0.234,-0.295,-0.355,37.231,119.263,-10.986
-0.237,-0.198,-0.477,67.139,109.07,-22.4
-0.137,-0.019,-0.573,87.097,85.083,-37.048
-0.09,0.029,-0.551,74.707,76.111,-39.917
-0.039,0.062,-0.525,54.26,67.81,-40.466
0.006,0.058,-0.487,27.1,59.937,-37.415
0.031,-0.018,-0.417,-1.831,53.833,-29.968
0.022,-0.151,-0.413,-26.428,48.645,-19.226
0.012,-0.229,-0.414,-44.25,40.955,-6.897
0.021,-0.262,-0.397,-46.265,30.823,2.991
0.006,-0.297,-0.444,-28.503,20.203,5.676
-0.006,-0.312,-0.486,-1.831,12.146,0.61
-0.035,-0.272,-0.586,37.292,-1.404,-8.789
-0.092,-0.154,-0.648,47.058,-13.0,-12.817
-0.078,-0.089,-0.687,48.34,-28.503,-18.494
-0.093,-0.01,-0.607,25.208,-56.519,-19.287
-0.071,-0.099,-0.499,10.315,-65.613,-11.963
-0.062,-0.256,-0.467,-1.16,-90.698,11.047
-0.096,-0.386,-0.456,-16.785,-91.003,25.757
-0.086,-0.198,-0.47,-15.747,-98.877,36.316
-0.09,-0.029,-0.557,-3.723,-107.3,34.973
-0.085,0.005,-0.582,16.602,-116.272,22.766
-0.075,-0.11,-0.488,38.33,-126.099,9.399
-0.092,-0.181,-0.348,45.776,-139.709,8.484
-0.154,0.016,0.15,25.085,-167.053,36.011
-0.131,0.03,0.329,35.95,-172.668,34.119
-0.031,0.014,0.571,60.852,-172.485,28.931
0.008,0.157,0.789,86.304,-168.274,22.156
-0.034,0.406,0.914,102.051,-162.903,12.268
0.042,0.486,1.093,100.647,-161.865,-1.892
0.111,0.479,1.226,79.956,-163.757,-14.038
0.077,0.447,1.28,47.485,-161.194,-20.63
-0.223,0.071,1.399,-30.518,-151.917,-11.536
-0.255,-0.204,1.682,-56.396,-153.137,4.089
-0.213,-0.34,2.127,-44.739,-152.649,17.151
-0.168,-0.288,2.306,-0.122,-149.048,20.63
-0.096,-0.082,2.81,58.105,-142.883,18.555
-0.068,-0.044,2.966,109.253,-151.001,2.808
0.073,0.115,2.945,134.033,-132.996,-28.198
0.072,0.076,2.86,132.019,-123.962,-40.588
0.195,0.068,2.835,97.534,-105.286,-37.476
0.06,0.073,2.651,44.006,-113.77,-34.241
-0.122,0.024,2.468,7.935,-112.0,-30.823
-0.125,-0.172,2.497,-24.353,-75.989,-5.615
-0.034,-0.194,2.631,-50.781,-51.575,11.292
-0.038,-0.192,2.664,-51.636,-48.889,15.442
-0.05,-0.153,2.661,-37.476,-48.645,17.517
-0.087,-0.016,2.677,-25.574,-41.565,21.179
-0.091,0.134,2.717,-18.799,-31.921,22.949
-0.021,0.22,2.792,-16.235,-21.057,20.386
0.046,0.265,2.849,-18.311,-6.592,14.954
0.044,0.3,2.832,-24.231,11.658,10.498
0.006,0.33,2.756,-33.447,29.236,7.507
-0.025,0.289,2.675,-45.959,43.457,4.578
-0.037,0.219,2.644,-60.852,53.955,6.042
-0.02,0.182,2.66,-72.51,60.852,11.78
0.022,0.169,2.666,-74.219,65.369,15.015
0.042,0.212,2.606,-54.321,80.322,8.057
-0.043,0.306,2.477,-42.419,89.05,0.305
-0.094,0.323,2.334,-36.804,96.68,-9.033
-0.096,0.251,2.209,-36.865,104.187,-17.883
-0.109,0.148,2.02,-38.696,112.183,-21.912
-0.13,0.099,1.848,-41.321,120.3,-21.851
-0.151,0.055,1.667,-40.955,130.981,-21.301
-0.162,0.007,1.491,-37.537,141.968,-22.034
-0.177,-0.077,1.32,-31.311,150.024,-22.888
-0.2,-0.161,1.131,-20.691,152.344,-22.705
-0.216,-0.186,0.966,-7.568,150.208,-20.813
-0.271,-0.119,0.85,4.395,145.752,-15.991
-0.308,0.003,0.739,8.118,132.019,1.77
-0.366,0.246,0.7,2.747,123.901,1.587
-0.349,0.375,0.716,-4.7,121.887,-1.465
-0.312,0.517,0.755,-13.0,122.986,-11.292
-0.241,0.49,0.783,-15.198,129.639,-33.264
-0.198,0.343,0.727,-20.813,144.958,-55.725
-0.239,0.127,0.513,-36.438,161.133,-67.261
-0.3,-0.135,0.237,-59.326,170.898,-65.674
-0.38,-0.349,-0.068,-89.417,169.373,-54.81
-0.426,-0.502,-0.341,-116.028,157.837,-38.696
-0.432,-0.611,-0.564,-121.582,143.25,-27.344
-0.45,-0.686,-0.728,-100.037,130.066,-25.208
-0.488,-0.739,-0.845,-57.007,117.92,-30.457
-0.463,-0.686,-0.892,-9.705,101.379,-38.025
-0.37,-0.622,-0.913,34.79,80.444,-44.678
-0.301,-0.585,-0.958,68.176,56.946,-44.922
-0.197,-0.522,-0.968,80.872,38.147,-33.752
-0.093,-0.424,-0.918,78.43,27.527,-19.226
-0.049,-0.326,-0.93,73.792,23.01,-9.033
-0.037,-0.218,-0.974,66.223,21.545,-1.953
-0.101,-0.139,-1.257,13.367,3.052,31.128
-0.104,-0.087,-1.317,1.343,-15.747,38.635
-0.09,-0.172,-1.36,6.042,-33.813,37.17
-0.147,-0.191,-1.358,13.0,-51.27,35.339
-0.181,-0.143,-1.29,19.714,-69.153,36.194
-0.227,-0.119,-1.221,30.762,-85.266,36.255
-0.247,-0.127,-1.117,37.842,-100.952,38.391
-0.267,-0.157,-1.024,38.94,-116.028,43.518
-0.343,-0.147,-0.944,38.696,-128.54,47.363
-0.418,-0.086,-0.856,36.682,-142.334,48.035
-0.483,-0.171,-0.725,36.621,-158.752,45.044
-0.472,-0.311,-0.503,36.56,-175.293,45.044
-0.408,-0.25,-0.104,31.006,-190.186,53.65
-0.402,-0.208,0.202,39.734,-200.928,60.486
-0.449,-0.114,0.382,63.171,-205.688,59.631
-0.43,0.035,0.602,82.458,-208.679,54.016
-0.433,0.075,0.832,96.252,-209.656,46.082
-0.465,0.129,1.192,100.098,-207.214,40.894
-0.44,0.196,1.617,91.492,-206.909,37.476
-0.389,0.25,2.026,74.097,-206.421,33.813
-0.328,0.32,2.297,51.086,-200.562,34.607
-0.235,0.42,2.48,30.701,-181.824,34.058
-0.074,0.404,2.613,23.865,-153.931,30.029
-0.124,0.217,2.532,28.198,-132.385,25.452
-0.21,0.132,2.508,30.273,-118.713,25.879
-0.364,0.11,2.502,32.349,-111.145,25.391
-0.13,0.118,2.902,35.828,-108.215,23.56
-0.301,0.086,2.884,38.025,-141.235,19.653
-0.137,0.198,2.917,46.326,-109.68,0.488
-0.099,0.202,2.876,47.729,-97.9,-4.15
0.003,0.18,2.944,36.621,-107.849,-4.333
-0.214,0.285,2.873,23.193,-122.437,-16.174
-0.268,0.196,2.891,15.808,-97.717,-3.784
-0.208,0.141,3.006,-1.526,-57.129,9.949
-0.171,0.151,3.103,-11.902,-29.175,15.869
-0.128,0.121,3.147,-7.996,-13.428,18.127
-0.195,0.15,3.015,3.967,-1.648,9.094
-0.189,0.172,2.888,12.39,16.174,4.15
-0.204,0.207,2.751,11.414,34.851,2.686
-0.194,0.219,2.651,3.662,48.584,3.906
-0.177,0.197,2.568,-4.395,58.105,4.944
-0.17,0.176,2.478,-10.559,64.514,5.005
-0.138,0.233,2.44,-15.747,68.726,3.967
-0.072,0.298,2.428,-16.052,73.12,0.366
-0.042,0.28,2.3,-11.169,79.163,-5.981
-0.028,0.294,2.177,-11.841,84.595,-12.085
-0.057,0.298,2.051,-18.25,88.623,-16.174
-0.061,0.261,1.989,-28.687,90.515,-16.296
-0.064,0.254,2.014,-40.649,92.834,-14.404
-0.063,0.298,2.1,-49.866,98.022,-15.32
-0.021,0.226,2.183,-49.866,107.422,-21.118
-0.024,0.092,2.118,-39.673,118.347,-29.968
-0.047,0.057,2.023,-30.212,129.639,-35.583
-0.116,0.102,1.905,-20.264,141.296,-36.682
-0.2,0.215,1.776,-6.042,150.085,-41.626
-0.282,0.233,1.611,4.456,155.945,-53.833
-0.317,0.115,1.451,-2.502,159.485,-61.768
-0.293,-0.008,1.327,-26.672,162.048,-55.969
-0.299,-0.01,1.237,-49.988,163.147,-44.128
-0.354,0.04,1.124,-58.716,164.917,-38.757
-0.453,0.021,0.879,-54.81,166.26,-41.809
-0.517,-0.046,0.655,-47.546,166.382,-47.852
-0.517,-0.182,0.421,-38.696,165.833,-54.321
-0.494,-0.242,0.216,-28.503,164.001,-55.115
-0.52,-0.208,0.065,-19.348,158.02,-47.791
-0.521,-0.178,-0.028,-7.751,150.391,-40.588
-0.476,-0.151,-0.067,2.014,142.212,-40.1
-0.415,-0.129,-0.137,3.906,135.071,-41.504
-0.347,-0.081,-0.18,-4.211,129.822,-39.917
-0.326,-0.035,-0.215,-15.015,125.427,-38.94
-0.3,-0.077,-0.332,-20.691,119.324,-43.335
-0.265,-0.197,-0.465,-24.048,112.549,-48.828
-0.222,-0.316,-0.58,-24.841,106.262,-49.683
-0.192,-0.372,-0.663,-24.963,98.083,-44.8
-0.178,-0.406,-0.731,-25.391,86.426,-36.194
-0.148,-0.406,-0.787,-25.94,72.754,-27.222
-0.109,-0.463,-0.84,-23.01,59.998,-21.362
-0.079,-0.525,-0.913,-12.085,50.171,-18.433
-0.037,-0.475,-0.943,4.7,41.199,-16.785
0.003,-0.351,-0.948,38.147,20.081,-11.902
-0.083,-0.281,-1.114,46.997,9.094,-10.376
-0.134,-0.223,-1.19,41.931,-5.005,-5.066
-0.185,-0.188,-1.206,31.738,-21.301,2.808
-0.289,-0.18,-1.158,22.4,-39.307,9.888
-0.307,-0.2,-1.03,14.404,-56.763,18.188
-0.278,-0.286,-0.888,9.705,-74.829,25.269
-0.213,-0.393,-0.773,9.644,-89.355,35.583
-0.13,-0.391,-0.704,10.681,-99.06,49.255
-0.051,-0.339,-0.649,17.09,-103.149,58.655
-0.13,-0.223,-0.685,29.785,-104.553,62.317
-0.182,-0.067,-0.717,43.396,-107.544,62.073
-0.353,0.076,-0.623,66.895,-119.507,40.344
-0.411,-0.069,-0.516,62.744,-129.761,33.569
-0.368,-0.245,-0.288,47.913,-140.503,35.034
-0.293,-0.371,-0.052,40.771,-148.987,39.551
-0.318,-0.413,0.057,51.086,-153.381,43.091
-0.345,-0.322,0.117,70.007,-157.837,45.715
-0.415,0.032,0.679,86.121,-177.49,40.771
-0.505,0.185,1.159,73.242,-197.021,33.936
-0.373,0.195,1.748,53.894,-210.876,31.677
-0.229,0.148,2.304,42.114,-222.29,29.724
-0.047,0.085,2.754,44.189,-218.323,26.55
0.106,0.142,3.098,54.138,-198.975,24.597
0.155,0.219,3.216,64.148,-176.208,20.996
0.201,0.312,3.135,74.463,-119.751,5.188
0.052,0.301,2.829,65.002,-99.06,-5.676
-0.041,0.211,2.956,34.668,-92.407,-8.118
-0.196,-0.002,2.898,1.16,-106.934,-5.371
0.143,-0.002,3.299,-19.348,-87.402,-4.578
0.26,-0.052,3.465,-11.475,-98.511,-0.305
0.236,-0.002,3.402,18.555,-100.647,-7.385
0.246,0.098,3.28,40.771,-84.778,-10.315
0.264,0.21,3.113,47.424,-53.284,-8.606
0.264,0.274,2.878,40.1,-20.508,-6.104
0.099,0.167,2.177,1.404,24.719,-6.653
-0.049,0.04,1.907,-26.917,35.095,-1.038
-0.114,-0.08,1.849,-49.194,41.199,6.47
-0.171,-0.163,1.931,-54.81,43.579,13.367
-0.124,-0.124,2.062,-41.992,39.368,14.038
0.076,0.019,2.139,4.15,34.363,-7.751
0.125,0.117,2.154,8.972,38.879,-10.559
0.135,0.211,2.16,-2.258,48.096,-11.536
0.073,0.221,2.151,-27.283,54.077,-12.268
0.061,0.115,2.278,-60.059,60.791,-10.681
0.079,-0.06,2.407,-87.769,69.397,-5.737
0.091,-0.101,2.53,-100.769,77.515,0.366
0.121,-0.067,2.642,-95.276,88.623,5.31
0.17,-0.049,2.596,-71.472,102.844,4.883
0.101,0.365,2.321,-28.076,128.479,-3.967
0.08,0.46,2.138,-3.296,140.198,-21.057
0.023,0.497,1.953,18.127,148.682,-45.044
-0.057,0.521,1.819,18.921,155.396,-62.5
-0.127,0.404,1.662,-6.287,163.818,-70.313
-0.228,0.245,1.506,-54.565,171.57,-65.186
-0.282,-0.003,1.35,-99.915,178.894,-54.504
-0.352,-0.286,1.132,-124.207,183.655,-48.279
-0.427,-0.518,0.852,-126.465,184.265,-42.358
-0.479,-0.554,0.604,-109.192,180.542,-33.63
-0.58,-0.325,0.253,-21.423,168.274,-21.423
-0.613,-0.101,0.115,17.395,158.203,-26.733
-0.543,0.059,0.06,30.64,147.278,-37.842
-0.433,-0.011,-0.034,27.527,138.428,-50.293
-0.375,-0.163,-0.225,17.151,134.338,-55.42
-0.296,-0.203,-0.395,2.869,131.042,-52.063
-0.288,-0.17,-0.527,-7.324,124.207,-45.044
-0.323,-0.217,-0.701,-8.179,116.76,-39.673
-0.333,-0.244,-0.829,-12.695,108.582,-34.424
-0.331,-0.298,-0.941,-23.926,97.168,-25.879
-0.305,-0.36,-1.021,-35.706,83.252,-15.564
-0.265,-0.346,-1.05,-39.734,68.054,-5.005
-0.233,-0.298,-1.078,-31.433,51.575,3.723
-0.218,-0.254,-1.108,-13.245,34.424,5.798
-0.188,-0.287,-1.125,9.216,1.587,-3.357
-0.068,-0.383,-1.022,41.87,-12.268,-2.258
-0.049,-0.354,-0.99,51.208,-21.912,2.625
-0.073,-0.25,-0.977,56.824,-29.297,8.789
-0.13,-0.156,-1.002,60.425,-35.645,13.794
-0.178,-0.062,-1.018,62.256,-43.945,15.686
-0.235,0.041,-1.005,59.998,-56.274,15.503
-0.223,0.048,-0.972,50.415,-71.533,19.043
-0.178,-0.064,-0.875,38.513,-86.365,23.621
-0.185,-0.247,-0.805,32.104,-97.351,30.212
-0.198,-0.313,-0.735,29.358,-105.225,39.429
-0.237,-0.308,-0.706,35.4,-110.718,44.922
-0.314,-0.308,-0.764,50.903,-118.225,44.739
-0.372,-0.323,-0.788,61.646,-128.906,42.542
-0.409,-0.339,-0.735,62.317,-144.226,44.189
-0.431,-0.268,-0.524,51.819,-164.185,52.246
-0.395,-0.139,-0.191,42.908,-180.725,61.707
-0.356,-0.042,0.158,51.88,-190.735,61.218
-0.331,0.074,0.466,72.144,-195.496,53.894
-0.359,0.25,0.703,93.384,-195.129,43.579
-0.291,0.265,0.96,111.45,-194.702,27.161
-0.258,0.04,1.307,68.787,-192.932,26.184
-0.281,-0.039,1.894,-30.945,-187.744,48.645
-0.248,-0.098,2.673,-12.024,-171.326,60.791
-0.146,0.042,2.951,37.842,-159.058,49.744
-0.048,0.188,3.175,82.886,-146.362,35.645
0.097,0.265,3.337,104.431,-134.277,24.78
0.259,0.38,3.23,89.905,-115.173,8.545
0.136,0.298,3.01,83.252,-35.522,-23.01
0.029,-0.002,2.648,32.166,-31.311,-18.677
-0.015,-0.132,2.557,8.179,-36.987,-9.705
0.028,-0.197,2.602,-4.639,-33.691,5.127
0.122,-0.049,2.74,20.996,-5.249,8.911
0.094,0.062,2.718,16.968,8.85,10.62
0.1,0.086,2.703,8.423,25.879,8.972
0.085,-0.054,2.653,-5.31,53.894,2.93
0.061,-0.058,2.576,-9.644,63.293,2.441
0.055,-0.147,2.404,-17.151,83.801,3.113
